coarse_step,learning_rate,runtime,n_max_iterations,accuracy,mae_len,rmse_len,mae_len_99p,rmse_len_99p,mae_len_1p,rmse_len_1p,mae_az,rmse_az,mae_az_99p,rmse_az_99p,mae_az_1p,rmse_az_1p,mae_el,rmse_el,mae_el_99p,rmse_el_99p,mae_el_1p,rmse_el_1p
2,0.05,46257.05078125,0,0.951,0.280339525735314,8.2145376270954,0.0483698421832302,0.0878910107124537,23.2453381973916,82.1407212322242,0.267557405895696,8.21436751734086,0.227309012752713,8.09177115251396,4.25214832705105,16.2906136444708,0.0221939523202613,0.0528650831957248,0.0198760725964986,0.0415295332705533,0.251664044972775,0.329736547710079
2,0.07,45249.25390625,0,0.95,0.282591499205305,8.21489670033888,0.0490218705702714,0.0910441504834758,23.4059847340736,82.1439721770714,0.268973804515864,8.21462966088598,0.228740796720144,8.0920396352576,4.25204157629218,16.2906293970295,0.0231113965493579,0.0662369363021244,0.0199542106986739,0.0417001118993215,0.335672795767066,0.516315929601239
2,0.09,44829.97265625,0,0.9485,0.287538237777869,8.21610840317679,0.050167829368856,0.0966937358259965,23.7872086702701,82.1554508909724,0.270066838492345,8.21507557055789,0.229845880092795,8.09249736110277,4.25194172004783,16.290605347612,0.0271572224829761,0.130271496403311,0.0207271618373456,0.0532771038139207,0.663733226400394,1.18998308737001
2,0.1,44755.6328125,0,0.9475,0.29184867721376,8.21714540062633,0.0509872099880948,0.1004790516972,24.1371339325547,82.1653719370897,0.272047753088482,8.21536881027777,0.231847319511521,8.09279810778708,4.25189067720764,16.2906024677315,0.0305433098479985,0.170862067614771,0.0225250285072714,0.0926862875024813,0.82435316257998,1.43836732921433
2,0.2,46889.15625,0,0.928,0.765568205862479,13.9806109326728,0.113812019441945,0.502548025228607,65.2894306614953,139.716660809756,0.703790521586915,13.9691776460769,0.472359373609404,11.4557167374024,23.6154741713605,80.7569270092237,0.0864283718793934,0.565294563138251,0.0541175674925437,0.402574269708661,3.28519800617751,3.98889158675088
2,0.3,50641.078125,0,0.9015,1.32502899279224,18.0364377627637,0.263903302868607,1.07025809002477,106.376472295232,180.049740159373,1.18708029716369,18.0107074233194,0.869711180999348,16.0123515347446,32.6066227974331,83.9965083993966,0.187387740064811,0.963070756296286,0.140464256627548,0.835988247322657,4.83281260035385,4.85404671864732
2,0.4,55244.5390625,0,0.871,1.77732727784838,19.9405474919852,0.45809807784238,1.64291535297607,132.381018078442,198.734308847678,1.52166410016354,19.8707509462835,1.26675971225926,18.3451954351673,26.7571985026866,78.5277082119977,0.352820643895755,1.66694064408132,0.283257811411509,1.46513572361401,7.23954105983614,8.08414899149187
2,0.5,58893.23046875,0,0.847,2.35218848321469,21.8489761092566,0.736317720104279,2.48733964388933,162.323394031146,217.08357079794,1.93848371120949,21.7061283347152,1.33810637698184,18.2409597677383,61.3758397997473,119.059111439386,0.566716688920847,2.49434354885993,0.464307186096348,2.16313341051455,10.7052574685462,12.6071212002252
3,0.05,24405.083984375,0,0.947,0.283178128507481,8.21400544238797,0.0506234129846111,0.0950224872381312,23.3060949652716,82.1346129395087,0.266711868646688,8.21323649184796,0.220956342713766,8.08859109289503,4.79650893600605,16.3896334969482,0.026303903593636,0.112390998555455,0.0228320366665171,0.0971983245841736,0.370018729378411,0.572599109093065
3,0.07,23099.478515625,0,0.946,0.284285323047747,8.21349923787648,0.0513558923826537,0.098739830807413,23.344298958892,82.1291164398787,0.266983790393827,8.21263187998559,0.221057688884447,8.08859129322084,4.81366783982242,16.3592982076718,0.0272602368234741,0.119362198546415,0.0228157762394676,0.0971045170757083,0.467261834640109,0.700880879871345
3,0.09,22516.5546875,0,0.9445,0.28897054275132,8.21452374981949,0.0526922240442413,0.105632354863585,23.6805240947521,82.1385133928649,0.267417192273979,8.21273324127147,0.221183822672308,8.08859317856387,4.84452078283934,16.3642936910169,0.0318348279903603,0.171502606577614,0.0253945414708041,0.132240084248283,0.669423193426419,1.10002629876483
